0,87392740.5861733,27029433.2292698,20846135.8751314,56497957.0738201,64031182.5162758,41702895.1642886,20597551.5532243,94793312.1293169,8207120.70977259,10570942.6581721,14204112.1903998,16646044.0876421,62095864.3935308,57370976.4841198,5207789.02858696,93120138.460825,72866168.1678271,73784165.379759,6340450.06928182
0.1,61418805.9258588,25235328.4441515,8040.51917420304,55959353.3708455,56625789.6614965,15183.8988043197,20403405.1613917,79490034.3323635,14508.7320180267,10474285.230085,13583432.6566382,3563.74684224105,61487132.7919844,48116171.6972702,10543.2111952531,92207173.9340747,63570947.1398354,10496.7943448115,6285586.81135
0.2,53532907.5572657,20912696.9612862,6729.55811493837,55407774.838216,46734268.4884904,12654.3326363588,20202759.5993823,65750348.9751785,12118.0446271169,10373020.1340834,11230838.214673,2975.91412579423,60876803.2414131,39794314.2474172,8805.52458676647,91292235.1765065,52272790.8827041,8720.33991748583,6226347.42078566
0.3,46975412.7020857,17306019.7510152,5624.47311050972,54860815.6866667,38534524.7906358,10536.7302740824,20003715.534319,54320532.7303808,10109.6568184926,10272272.291891,9275076.24441304,2482.22906714062,60272300.5061675,32872923.3252702,7345.80995844114,90385977.6891523,42960930.7639429,7238.89902659478,6167148.91598726
0.4,41457540.0231369,14304338.6170561,4695.33226201806,54318571.057631,31748449.6363857,8766.86801943842,19806321.340664,44832512.5222689,8425.96338502269,10172115.8772935,7652517.72194156,2068.47033867451,59673606.6760914,27128411.1697282,6122.16193749238,89488383.8663214,35292905.0898343,6010.68389030022,6108079.74447237
0.5,36765769.7429264,11811327.8811432,3915.75982832031,53781113.2387826,26139904.0174305,7289.59704989932,19610614.8800115,36970080.2939805,7016.88236358878,10072612.1018031,6308629.72012909,1722.28231330081,59080697.7671768,22368836.7147965,5098.15104769184,88599425.5537315,28983065.5725852,4980.22537023774,6049213.75348704
0.6,32739847.0458665,9744323.51667301,3262.81092406257,53248494.9624058,21509745.8168342,6057.89700102378,19416625.0233513,30464088.2760946,5839.29016748846,9973811.03046975,5197081.40240622,1433.03352443741,58493544.6689626,18430918.0566226,4242.4147044569,87719065.6693803,23793942.7422979,4129.84397043702,5990612.23333413
0.7,29257754.1618511,8032982.53731742,2716.71077861249,52720752.3698006,17690887.0541892,5031.8904577662,19224373.0214088,25087009.2240136,4856.32510740566,9875753.22117994,4278764.63930099,1191.64100181359,57912113.989937,15176685.7556103,3528.14629159199,86847259.6587918,19528620.9436601,3423.97921097693,5932325.76659168
0.8,26225296.1315927,6617826.87310254,2260.53526027416,52197907.5994269,14543680.8199099,4177.89451045682,19033873.6914649,20647498.6869242,4036.64683604527,9778471.16496876,3520830.52132605,990.386315255777,57336368.7946392,12490154.2722791,2932.55713309015,85983956.7578409,16024132.9920272,2837.90149983714,5874395.84441062
0.9,23568782.1162909,5448812.33085348,1879.87730301938,51679971.0361404,11951770.6120428,3467.54828428872,18845136.4491415,16985290.4234331,3353.72182460578,9681990.54150784,2895793.36328039,822.737809441281,56766269.2414594,10274206.5163958,2436.35557203675,85129101.0886529,13145817.1643283,2348.63295920472,5816856.27712383
