"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
"Fpr2" 0 -1.24313502270893 0.82 1 0
"Acp5" 0 -1.24480342070339 0.939 1 0
"Cst7" 0 -1.24505767115467 0.853 1 0
"Bub1" 0 -1.24531797533995 0.899 1 0
"Cep55" 0 -1.24586008060867 0.775 1 0
"Hmgb2" 0 -1.24629578840461 0.9 1 0
"Dhrs9" 0 -1.24782983061901 0.875 1 0
"Bcl2a1d" 0 -1.2491632827064 0.828 1 0
"Tmpo" 0 -1.25369998740444 0.684 0.998 0
"Prim1" 0 -1.25857879950556 0.838 1 0
"Mcm7" 0 -1.2591625727971 0.889 1 0
"Lars2" 0 -1.26608640254374 0.892 1 0
"Ldhb" 0 -1.26649945588364 0.843 1 0
"Fcnb" 0 -1.27107475026163 0.871 1 0
"Il1r2" 0 -1.27140464749491 0.767 1 0
"Mcm6" 0 -1.27287213951395 0.902 1 0
"Pbk" 0 -1.27643872359604 0.85 1 0
"Itgb7" 0 -1.28060698452612 0.907 1 0
"Pmp22" 0 -1.28400416257756 0.925 1 0
"Birc5" 0 -1.28406233581214 0.87 1 0
"Mns1" 0 -1.28640919771916 0.876 1 0
"Nectin3" 0 -1.28958155942098 0.871 1 0
"Mgl2" 0 -1.29392911979058 0.869 1 0
"Mmp9" 0 -1.29573370763976 0.866 1 0
"Mx1" 0 -1.29864808237985 0.845 1 0
"Ptprn" 0 -1.30774366740683 0.815 1 0
"Hoxa7" 0 -1.30988342199696 0.875 1 0
"Fpr1" 0 -1.31453703183029 0.853 1 0
"H2-DMb2" 0 -1.31487505457422 0.807 1 0
"Wfdc21" 0 -1.31823807066794 0.766 1 0
"Nop58" 0 -1.31843948459327 0.843 1 0
"Ass1" 0 -1.32070477595961 0.877 1 0
"Hist1h1b" 0 -1.3218332684582 0.828 1 0
"Ccr2" 0 -1.32766178641701 0.816 1 0
"G2e3" 0 -1.32828140342287 0.869 1 0
"Tuba1a" 0 -1.33148859426946 0.819 1 0
"Serpinb6b" 0 -1.33378368515127 0.752 0.996 0
"Cdk6" 0 -1.33467908604726 0.844 1 0
"BC100530" 0 -1.34342100174744 0.726 1 0
"Enah" 0 -1.35475196527757 0.79 1 0
"Rfc4" 0 -1.36834870803603 0.859 1 0
"Sdc4" 0 -1.38473455896293 0.889 1 0
"Psip1" 0 -1.38805341548046 0.858 1 0
"Basp1" 0 -1.39896741854195 0.822 1 0
"Bcl2a1a" 0 -1.40072602090071 0.753 1 0
"Pacsin1" 0 -1.40541714596791 0.851 1 0
"Il1rn" 0 -1.42059339976255 0.87 1 0
"Gcat" 0 -1.4268640010562 0.795 1 0
"Hist1h1c" 0 -1.42710945205999 0.784 1 0
"Spn" 0 -1.43031585828989 0.809 1 0
"Jaml" 0 -1.44777074960833 0.782 1 0
"Ctla2a" 0 -1.45487124932079 0.77 1 0
"Slco3a1" 0 -1.45904902598387 0.771 1 0
"Hs3st1" 0 -1.46049887585457 0.786 1 0
"Hist2h2bb" 0 -1.47498664764289 0.769 1 0
"Ly6k" 0 -1.48110290873049 0.821 1 0
"Runx2" 0 -1.48493197828106 0.79 1 0
"H2afx" 0 -1.49946588722403 0.548 1 0
"Bex6" 0 -1.50877545274935 0.756 1 0
"Ly6d" 0 -1.51199496096767 0.79 1 0
"Pomk" 0 -1.52519027434856 0.784 1 0
"Ifi209" 0 -1.54616740113824 0.758 1 0
"Glrx" 0 -1.55525757015044 0.744 1 0
"Top2a" 0 -1.61824172193533 0.743 1 0
"Mfge8" 0 -1.62878888014571 0.763 1 0
"Vcam1" 0 -1.63265891957286 0.748 1 0
"Klf4" 0 -1.68667383150438 0.701 1 0
"Olfr889" 0 -1.71415259703344 0.727 1 0
"Incenp" 0 -1.74966242531281 0.707 1 0
"Mafb" 0 -1.75101034782777 0.725 1 0
"Hist1h1e" 0 -1.79578471042573 0.613 1 0
"Ramp1" 0 -1.82110986798277 0.716 1 0
"Racgap1" 0 -1.88927973619137 0.394 0.998 0
"Nop56" 0 -2.4335621415418 0.531 1 0
"Cenph" 0 -2.62441779190088 0.46 0.987 0
"Plk2" 0 -3.02900330448428 0.443 0.998 0
"Dnajc9" 0 -3.04985299176961 0.417 0.995 0
