"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
"Kif2c" 8.44361440299252e-65 10.5862568414637 0.03 0 6.05407152694564e-62
"Klrd1" 0 10.5126163164475 0.451 0.003 0
"Prr11" 1.51953786889922e-177 10.3976898643753 0.084 0 1.08950865200074e-174
"Dusp2" 5.02284052051195e-79 10.2682516477457 0.037 0 3.60137665320707e-76
"Gadd45b" 3.6374260753548e-52 10.2528784940904 0.024 0 2.60803449602939e-49
"Lrrc14b" 4.22141777797114e-90 10.2329418820312 0.043 0 3.02675654680531e-87
"Gm47336" 0 10.2252471080961 0.414 0.002 0
"Nr4a1" 7.50780557294394e-95 9.90851667161244 0.045 0 5.3830965958008e-92
"Palld" 3.93580491043803e-195 9.86994108290084 0.093 0 2.82197212078407e-192
"Snrpf" 4.12881084203535e-121 9.77883213107988 0.059 0 2.96035737373935e-118
"Ly6c2" 1.86412122268003e-195 9.58577298045288 0.097 0 1.33657491666158e-192
"Id3" 2.84600197603766e-44 9.54110759343932 0.021 0 2.040583416819e-41
"Ddx21" 4.60577969468606e-144 9.44088891426204 0.068 0 3.30234404108991e-141
"Mmp14" 0 9.40142848490617 0.492 0.003 0
"Siglech" 0 9.26325326659111 0.505 0.007 0
"Stap1" 0 9.25486123126042 0.172 0.001 0
"Gm21762" 0 9.07403774415213 0.286 0.003 0
"Exosc8" 0 9.06639257030482 0.262 0.001 0
"Slfn4" 2.5526510608103e-25 8.99567980637982 0.011 0 1.83025081060099e-22
"Tuba4a" 0 8.97032975442533 0.946 0.021 0
"Rtp4" 3.72574649081086e-22 8.8938079758298 0.01 0 2.67136023391139e-19
"Ska1" 1.28825325682117e-151 8.74407645553456 0.073 0 9.2367758514078e-149
"S100a9" 0 8.42175245729041 0.295 0.002 0
"Kcnip4" 0 8.34412983160044 0.269 0.004 0
"Smc4" 0 8.00687974964121 0.206 0.002 0
"Camp" 0 7.89726951382907 0.351 0.003 0
"Dek" 0 7.89312579028673 0.379 0.006 0
"Myo1e" 9.34730870712685e-41 7.86103217260512 0.02 0 6.70202034300995e-38
"Rnd3" 7.76012300776257e-241 7.69433185011997 0.116 0 5.56400819656576e-238
"Ccr5" 1.44577235690927e-135 7.54926439486771 0.075 0.001 1.03661877990394e-132
"Ptcra" 7.21934912233403e-269 7.40230271981928 0.132 0.001 5.1762733207135e-266
"Traf1" 0 7.26412353265924 0.149 0 0
"Depdc1a" 9.74345168223692e-24 7.12646025143902 0.011 0 6.98605485616387e-21
"Cxcr2" 0 7.0964746377911 0.31 0.002 0
"Tnip3" 0 7.0461075351931 0.373 0.01 0
"Kif4" 0 7.03631906027938 0.549 0.014 0
"Lbp" 0 7.0354586165625 0.185 0.003 0
"Mmp12" 1.12515855810152e-183 6.93293836856849 0.116 0.004 8.06738686158789e-181
"Cbx5" 0 6.72593937992967 0.879 0.019 0
"Prss57" 0 6.64086246101888 0.2 0.006 0
"Fcrls" 0 6.56440094826686 0.193 0.001 0
"Dppa3" 0 6.34884358479714 0.43 0.014 0
"Ifi27l2a" 0 6.13965588737462 0.393 0.002 0
"Cp" 1.56948058121474e-307 6.04798600728594 0.157 0.001 1.12531757673097e-304
"Isg15" 2.71598304359016e-67 6.02709848167867 0.047 0.002 1.94735984225414e-64
"Pmepa1" 0 5.8335368300544 0.294 0.002 0
"Dhfr" 9.60524899278562e-57 5.82220670538828 0.046 0.003 6.88696352782729e-54
"Thbs1" 2.28520922134384e-273 5.75101692623299 0.16 0.004 1.63849501170353e-270
"Fcer1a" 0 5.68933443754795 0.884 0.015 0
"Gm13546" 0 5.62707901734533 0.293 0.015 0
"Elane" 0 5.61843415937938 0.172 0.001 0
"Shcbp1" 0 5.57721787136928 0.402 0.003 0
"Timm8a1" 0 5.46343545177681 0.645 0.012 0
"Cox6a2" 2.1311568031061e-269 5.41242157165647 0.157 0.004 1.52803942782708e-266
"Cacnb3" 0 5.28936721774583 0.267 0.003 0
"Lox" 0 5.26482561416427 0.407 0.007 0
"Col4a1" 9.03629523658678e-106 5.19729764979219 0.092 0.007 6.47902368463272e-103
"Dkc1" 0 5.18670611572999 0.274 0.003 0
